"","Name","Position","1B_total","2B_total","3B_total","HR_total","BB_total","SO_total","RBI_total","SB_total","R_total","H_total","FPTS"
"81","Andrew Jenkins","1B",9.60408628795543,2.23300855812699,0.312098272492557,1.21550725654115,6.81744091496707,20.205522937286,7.25392446413224,0.00070137343102398,7.70591419641442,13.3647003751161,41.3528450947756
"82","Andrew Knizner","C",17.069971387701,4.42253045232662,0.131829720321293,1.8898752530588,18.0953559472667,26.1324645432522,11.3257091496033,0.466338717508988,11.9796847597199,23.5142068134077,78.5377041759488
"83","Andrew McCutchen","OF",31.3272899599462,8.9962327342753,0.142584172240536,6.65502343620555,56.4620864861806,56.8081260247942,24.2649193873058,1.37448040673899,25.7402020540068,47.1211303026676,165.181338118633
"84","Andrew Miller",NA,3.59118364526873,0.799683554860911,0.00033615666374502,0.696146562191423,4.43852890759931,15.0014398022006,2.97511080731002,0.173309091175629,3.35725390504907,5.08734991898481,9.65507931305119
"85","Andrew Navigato",NA,7.96457953123943,2.76299055904342,0.317191045948294,2.28372564973061,9.34840868648188,20.0522153083969,9.35021968509753,1.4035014238699,8.9949494311378,13.3284867859618,49.9304651897254
"86","Andrew Pinckney","CF/LF/RF",14.5398013212565,2.22473345846776,0.487089836740867,2.02079107166792,11.472222377754,28.9519869528618,10.189936762296,3.40781641997477,10.8412913309827,19.272415688133,62.565590971744
"87","Andrew Pintar","CF/RF/LF",8.63480301551067,2.39554620743629,0.312484852655863,0.869438706997075,8.86789979971977,19.0005914868457,5.9416203514904,2.24032821948465,6.20601588446697,12.2122727825999,37.6530233501353
"88","Andrew Stevenson",NA,10.255233441051,2.39445002652792,0.468046561739711,1.21602299660838,8.18044503142803,15.337540198027,7.09174606708054,3.27140744314562,7.20733740518946,14.333753025927,52.2128219350021
"89","Andrew Vaughn","1B",77.9847800282392,24.8633481541653,0.737568309915175,19.3856023880756,78.1096758913569,106.387075213091,73.0026612656106,0.665232811013253,57.3339267153463,122.971298880395,478.023934158288
"90","Andrew Velazquez","SS/2B/LF",7.72801469058438,2.09654672739548,0.00112612482354582,1.22513995005481,7.90258994433361,21.0829218981695,5.82255086964715,2.9472168995771,6.92115838089957,11.0508274928582,33.5347055577359
"91","Andrick Nava","C",4.56865742803001,1.12017482422635,0.000487427162430279,0.17573775093088,5.46774862814858,8.5531858247083,2.48238544268984,0.173243847135534,2.02159413577801,5.86505743034967,15.367572823288
"92","Andruw Monasterio","INF",22.4198016318499,6.33045813502665,0.325085916494151,3.36061980030195,26.747717516055,37.3126389395641,15.46608884415,4.27606195452594,17.8588455152742,32.4359654836726,114.658743194325
